destination_id,destination_name,country,continent,type,unesco_site,best_season,avg_cost_usd,avg_rating,annual_visitors_millions,city,region,latitude,longitude,description,budget_level,culture_score,adventure_score,nature_score,beach_score,urban_score,nightlife_score,cuisine_score,wellness_score,seclusion_score,climate_spring_temp,climate_spring_label,climate_summer_temp,climate_summer_label,climate_autumn_temp,climate_autumn_label,climate_winter_temp,climate_winter_label,ideal_duration_days,experience_types,experience_types_str
DEST_0010,Hidden Ruins,China,Asia,Historical,No,Autumn,119.91,5.0,1.66,Shanghai,asia,31.2312707,121.4700152,"Vibrant streets pulse with energy, blending futuristic skyscrapers with ancient temples, while enticing aromas from street food stalls fill the air.",Mid-range,5,3,2,1,5,5,5,3,2,17.266666666666666,Pleasant,28.400000000000002,Warm,20.333333333333332,Pleasant,7.433333333333333,Cool,6,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0011,Ancient Park,Japan,Asia,Historical,No,Winter,123.32,4.5,9.14,Takayama,asia,36.1396246,137.2510322,"Charming wooden houses, serene streets, and the gentle flow of the river create a peaceful atmosphere perfect for unwinding and exploration.",Mid-range,5,2,4,1,2,2,4,3,4,10.533333333333333,Cool,22.96666666666667,Pleasant,14.200000000000001,Cool,0.5333333333333333,Cold,4,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0012,Grand Canyon,Morocco,Africa,City,Yes,Winter,191.13,4.1,3.46,Marrakesh,africa,31.6258257,-7.9891608,"A sensory feast of vibrant colors, aromatic spices, bustling souks, and serene gardens, creating an enchanting and immersive experience for every visitor.",Budget,5,3,3,1,4,4,5,4,2,19.86666666666667,Pleasant,28.266666666666666,Warm,22.233333333333334,Pleasant,14.033333333333333,Cool,5,['Urban'],Urban
DEST_0013,Golden Temple,Morocco,Africa,Religious,No,Winter,288.92,4.9,2.26,Fès,africa,34.0346534,-5.0161926,"Winding alleys filled with vibrant souks, the aroma of spices, and the sound of artisans at work create an enchanting, timeless atmosphere.",Budget,5,2,2,1,3,2,4,3,3,16.5,Pleasant,26.399999999999995,Warm,19.599999999999998,Pleasant,11.366666666666667,Cool,6,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0014,Serene Park,Italy,Europe,Historical,Yes,Autumn,186.92,4.6,1.34,Verona,europe,45.4424977,10.98573769,"Charming streets with a romantic vibe, historic architecture, and cozy piazzas invite leisurely strolls and delightful discoveries at every turn.",Mid-range,5,2,3,1,4,3,4,3,3,13.666666666666666,Cool,24.766666666666666,Pleasant,14.500000000000002,Cool,4.466666666666667,Cold,4,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0015,Lush Ruins,Peru,South America,City,No,Autumn,99.55,4.0,3.08,Lima,south_america,-12.0621065,-77.0365256,"A lively blend of colonial charm and vibrant modernity, with bustling markets, ocean views, and the tantalizing aroma of street food.",Mid-range,5,3,3,2,4,4,5,3,2,21.46666666666667,Pleasant,17.433333333333334,Pleasant,17.933333333333334,Pleasant,22.633333333333336,Pleasant,6,['Urban'],Urban
DEST_0016,Sacred Canyon,Brazil,South America,City,No,Winter,126.97,4.8,3.17,Sao Paulo,south_america,-23.5506507,-46.6333824,"Energetic streets buzz with life, offering a tapestry of art, diverse cuisine, and vibrant nightlife that captivates every sense.",Mid-range,5,3,2,2,5,5,5,3,1,20.633333333333336,Pleasant,17.566666666666666,Pleasant,20.400000000000002,Pleasant,22.600000000000005,Pleasant,6,['Urban'],Urban
DEST_0017,Mystic Forest,South Africa,Africa,Adventure,No,Autumn,93.47,4.5,8.12,Cape Town,africa,-33.9288301,18.4172197,"A vibrant coastal city surrounded by rugged mountains and pristine beaches, offering laid-back afternoons, diverse cultures, and breathtaking views.",Mid-range,4,4,5,4,4,4,4,3,3,17.53333333333333,Pleasant,12.9,Cool,16.666666666666668,Pleasant,21.2,Pleasant,8,['Adventure'],Adventure
DEST_0018,Mystic Ruins,Vietnam,Asia,Beach,No,Summer,116.15,4.7,0.55,Hoi An,asia,15.8795863,108.3319406,"Charming lantern-lit streets, bustling markets, and the scent of fresh herbs create an inviting atmosphere that feels both timeless and vibrant.",Budget,5,3,3,3,2,2,5,3,4,27.366666666666664,Warm,30.166666666666668,Hot,27.066666666666666,Warm,22.73333333333333,Pleasant,4,['Beach'],Beach
DEST_0019,Lush Forest,Kenya,Africa,Adventure,No,Summer,179.11,4.8,7.43,Nairobi,africa,-1.30261485,36.82884202,"Bustling streets filled with colorful markets, the aroma of street food, and a lively mix of cultures create a dynamic urban experience.",Mid-range,4,4,5,1,4,3,3,3,2,20.666666666666668,Pleasant,18.3,Pleasant,19.966666666666665,Pleasant,20.8,Pleasant,5,['Adventure'],Adventure
DEST_0020,Ancient Forest,Brazil,South America,Nature,No,Summer,108.04,4.4,8.7,Salvador da Bahia,south_america,-13.2432762,-43.3742847,"Lively streets filled with music and dance, vibrant markets, and stunning coastal views create an energetic yet laid-back atmosphere.",Mid-range,5,3,4,4,3,4,5,3,2,27.2,Warm,25.600000000000005,Warm,28.866666666666664,Warm,26.96666666666667,Warm,5,['Nature'],Nature
DEST_0021,Grand Ruins,Brazil,South America,Religious,Yes,Spring,74.59,4.8,1.1,Sao Paulo,south_america,-23.5506507,-46.6333824,"Energetic streets buzz with life, offering a tapestry of art, diverse cuisine, and vibrant nightlife that captivates every sense.",Mid-range,5,3,2,2,5,5,5,3,1,20.633333333333336,Pleasant,17.566666666666666,Pleasant,20.400000000000002,Pleasant,22.600000000000005,Pleasant,6,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0022,Mystic Forest,India,Asia,Beach,No,Spring,94.68,4.1,7.43,Goa,asia,15.3004543,74.0855134,"Golden beaches stretch endlessly alongside vibrant markets and aromatic spice-scented air, offering a perfect blend of relaxation and lively culture.",Mid-range,4,4,3,5,3,5,4,3,3,29.166666666666668,Warm,26.900000000000002,Warm,27.566666666666666,Warm,26.7,Warm,5,['Beach'],Beach
DEST_0023,Sacred Park,Greece,Europe,Religious,No,Spring,191.74,4.6,4.99,Athens,europe,37.9755648,23.7348324,"Ancient ruins stand proudly against a backdrop of vibrant street life and bustling markets, where history and modernity create an electrifying blend.",Mid-range,5,3,3,3,4,4,5,3,2,17.2,Pleasant,28.266666666666666,Warm,20.633333333333333,Pleasant,11.433333333333332,Cool,5,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0024,Sacred Forest,Canada,North America,City,No,Spring,168.08,4.3,7.73,Montreal,north_america,45.5031824,-73.5698065,"Charming streets filled with a mix of European elegance and North American vibrancy, offering lively festivals, diverse cuisine, and artistic flair.",Mid-range,5,3,3,2,5,4,5,3,2,6.933333333333334,Cool,21.266666666666666,Pleasant,10.166666666666666,Cool,-5.566666666666666,Cold,5,['Urban'],Urban
DEST_0025,Ancient Falls,France,Europe,Nature,No,Spring,224.77,4.6,5.19,Annecy,europe,45.8992348,6.1288847,"Charming canals and cobblestone streets weave through a picturesque town, surrounded by stunning alpine views and the serene waters of a crystal-clear lake.",Mid-range,4,4,5,3,3,3,4,3,4,11.1,Cool,21.0,Pleasant,11.966666666666667,Cool,3.6333333333333333,Cold,4,['Nature'],Nature
DEST_0026,Ancient Valley,Argentina,South America,City,Yes,Summer,30.0,4.7,0.74,Buenos Aires,south_america,-34.6083696,-58.4440583,"Lively streets filled with tango rhythms, vibrant markets, and historic architecture create an irresistible blend of culture and energy.",Mid-range,5,3,2,2,5,5,5,3,2,18.766666666666666,Pleasant,12.533333333333333,Cool,18.3,Pleasant,24.666666666666668,Pleasant,10,['Urban'],Urban
DEST_0027,Lush Forest,Vietnam,Asia,Beach,Yes,Winter,79.06,4.8,5.33,Hoi An,asia,15.8795863,108.3319406,"Charming lantern-lit streets, bustling markets, and the scent of fresh herbs create an inviting atmosphere that feels both timeless and vibrant.",Budget,5,3,3,3,2,2,5,3,4,27.366666666666664,Warm,30.166666666666668,Hot,27.066666666666666,Warm,22.73333333333333,Pleasant,4,['Beach'],Beach
DEST_0028,Sacred Temple,United States,North America,Historical,No,Autumn,139.02,4.6,4.4,Washington,north_america,38.8950368,-77.0365427,"Majestic landscapes blend with vibrant city life, offering a mix of natural beauty, cultural richness, and a welcoming atmosphere.",Mid-range,5,2,3,1,5,4,4,3,2,14.633333333333335,Cool,26.23333333333333,Warm,16.73333333333333,Pleasant,4.8999999999999995,Cold,5,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0029,Sacred Pagoda,Argentina,South America,Adventure,No,Spring,110.54,4.7,1.23,Salta,south_america,-25.1076701,-64.3494964,"Stunning mountain landscapes, vibrant local markets, and the warmth of traditional folklore create an inviting and colorful atmosphere.",Mid-range,4,4,5,1,3,3,4,3,4,16.400000000000002,Pleasant,11.133333333333333,Cool,18.233333333333334,Pleasant,21.066666666666666,Pleasant,5,['Adventure'],Adventure
DEST_0030,Golden Park,Greece,Europe,City,Yes,Winter,109.58,4.3,9.33,Athens,europe,37.9755648,23.7348324,"Ancient ruins stand proudly against a backdrop of vibrant street life and bustling markets, where history and modernity create an electrifying blend.",Mid-range,5,3,3,3,4,4,5,3,2,17.2,Pleasant,28.266666666666666,Warm,20.633333333333333,Pleasant,11.433333333333332,Cool,5,['Urban'],Urban
DEST_0031,Golden Temple,New Zealand,Oceania,City,Yes,Winter,175.07,4.8,8.78,Wellington,oceania,-41.2887953,174.7772114,"Charming harborside views, vibrant arts scene, and a cozy mix of urban buzz and nature create a welcoming, eclectic atmosphere.",Mid-range,4,3,4,3,4,4,4,3,2,15.033333333333333,Pleasant,10.966666666666669,Cool,13.266666666666666,Cool,17.633333333333333,Pleasant,6,['Urban'],Urban
DEST_0032,Serene Canyon,Spain,Europe,Beach,Yes,Spring,123.51,4.7,8.98,Barcelona,europe,41.3828939,2.1774322,"Vibrant streets filled with Gaudí's whimsical architecture, lively tapas bars, and the warm Mediterranean breeze create an inviting and dynamic atmosphere.",Mid-range,5,3,3,4,5,5,5,3,2,15.066666666666668,Pleasant,24.8,Pleasant,17.8,Pleasant,9.766666666666667,Cool,6,['Beach'],Beach
DEST_0033,Lush Temple,Kenya,Africa,Adventure,No,Winter,218.59,4.6,9.01,Nairobi,africa,-1.30261485,36.82884202,"Bustling streets filled with colorful markets, the aroma of street food, and a lively mix of cultures create a dynamic urban experience.",Mid-range,4,4,5,1,4,3,3,3,2,20.666666666666668,Pleasant,18.3,Pleasant,19.966666666666665,Pleasant,20.8,Pleasant,5,['Adventure'],Adventure
DEST_0034,Grand Falls,Vietnam,Asia,Adventure,Yes,Winter,114.9,4.4,2.67,Sapa,asia,22.3359246,103.8426749,"Rolling green terraces and misty mountain vistas create a serene escape, where vibrant local cultures and tranquil landscapes embrace visitors warmly.",Budget,4,4,5,1,2,2,3,3,4,17.099999999999998,Pleasant,20.266666666666666,Pleasant,16.0,Pleasant,10.133333333333335,Cool,5,['Adventure'],Adventure
DEST_0035,Golden Valley,Thailand,Asia,Adventure,No,Autumn,213.69,4.4,8.68,Chiang Mai,asia,18.7882778,98.9858802,"Lush mountain landscapes and vibrant night markets create a serene yet lively atmosphere, inviting exploration and relaxation at every turn.",Budget,5,4,4,1,3,3,5,4,4,29.5,Warm,28.133333333333336,Warm,26.8,Warm,23.599999999999998,Pleasant,5,['Adventure'],Adventure
DEST_0036,Ancient Temple,Italy,Europe,Adventure,No,Spring,150.26,4.4,4.47,Sardinia,europe,40.0912813,9.0305773,"Crystal-clear waters, rugged coastlines, and charming villages create a serene escape where you can unwind and savor local flavors.",Mid-range,3,4,5,5,3,3,4,4,4,15.633333333333333,Pleasant,25.866666666666664,Warm,18.733333333333334,Pleasant,11.333333333333334,Cool,8,['Adventure'],Adventure
DEST_0037,Mystic Canyon,Canada,North America,City,Yes,Autumn,130.22,4.4,3.71,Montreal,north_america,45.5031824,-73.5698065,"Charming streets filled with a mix of European elegance and North American vibrancy, offering lively festivals, diverse cuisine, and artistic flair.",Mid-range,5,3,3,2,5,4,5,3,2,6.933333333333334,Cool,21.266666666666666,Pleasant,10.166666666666666,Cool,-5.566666666666666,Cold,5,['Urban'],Urban
DEST_0038,Sacred Valley,India,Asia,City,No,Summer,141.94,4.6,5.43,Mumbai,asia,19.054999,72.8692035,"A bustling metropolis where vibrant street life, aromatic food stalls, and historic landmarks blend with a dynamic energy that never sleeps.",Mid-range,5,3,2,3,5,4,5,3,1,29.933333333333334,Warm,28.53333333333333,Warm,28.900000000000002,Warm,26.5,Warm,6,['Urban'],Urban
DEST_0039,Serene Ruins,Italy,Europe,Religious,No,Summer,102.85,4.9,9.73,Verona,europe,45.4424977,10.98573769,"Charming streets with a romantic vibe, historic architecture, and cozy piazzas invite leisurely strolls and delightful discoveries at every turn.",Mid-range,5,2,3,1,4,3,4,3,3,13.666666666666666,Cool,24.766666666666666,Pleasant,14.500000000000002,Cool,4.466666666666667,Cold,4,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0040,Grand Beach,Thailand,Asia,Adventure,Yes,Autumn,54.06,4.5,3.21,Chiang Mai,asia,18.7882778,98.9858802,"Lush mountain landscapes and vibrant night markets create a serene yet lively atmosphere, inviting exploration and relaxation at every turn.",Budget,5,4,4,1,3,3,5,4,4,29.5,Warm,28.133333333333336,Warm,26.8,Warm,23.599999999999998,Pleasant,5,['Adventure'],Adventure
DEST_0041,Crystal Pagoda,United States,North America,Adventure,No,Summer,155.12,4.4,5.28,San Diego,north_america,32.7174202,-117.162772,"Sun-drenched beaches, vibrant neighborhoods, and an easygoing vibe invite you to savor ocean breezes and explore diverse, lively cultural spots.",Mid-range,4,4,4,5,4,4,4,4,3,16.96666666666667,Pleasant,21.266666666666666,Pleasant,20.066666666666666,Pleasant,14.566666666666668,Cool,5,['Adventure'],Adventure
DEST_0042,Crystal Temple,Argentina,South America,Adventure,Yes,Autumn,140.38,4.6,1.88,Salta,south_america,-25.1076701,-64.3494964,"Stunning mountain landscapes, vibrant local markets, and the warmth of traditional folklore create an inviting and colorful atmosphere.",Mid-range,4,4,5,1,3,3,4,3,4,16.400000000000002,Pleasant,11.133333333333333,Cool,18.233333333333334,Pleasant,21.066666666666666,Pleasant,5,['Adventure'],Adventure
DEST_0043,Golden Beach,Italy,Europe,Nature,No,Summer,166.99,4.5,2.8,Sicily,europe,37.587794,14.155048,"Sun-drenched landscapes, aromatic citrus groves, and vibrant markets create a sensory feast, while ancient ruins whisper stories of a rich, layered history.",Mid-range,5,3,4,4,3,3,5,3,3,11.533333333333331,Cool,23.8,Pleasant,15.5,Pleasant,6.966666666666666,Cool,8,['Nature'],Nature
DEST_0044,Sacred Valley,South Africa,Africa,Adventure,Yes,Winter,207.14,4.7,2.76,Cape Town,africa,-33.9288301,18.4172197,"A vibrant coastal city surrounded by rugged mountains and pristine beaches, offering laid-back afternoons, diverse cultures, and breathtaking views.",Mid-range,4,4,5,4,4,4,4,3,3,17.53333333333333,Pleasant,12.9,Cool,16.666666666666668,Pleasant,21.2,Pleasant,8,['Adventure'],Adventure
DEST_0045,Serene Plaza,United States,North America,Beach,No,Summer,109.91,4.9,6.51,San Diego,north_america,32.7174202,-117.162772,"Sun-drenched beaches, vibrant neighborhoods, and an easygoing vibe invite you to savor ocean breezes and explore diverse, lively cultural spots.",Mid-range,4,4,4,5,4,4,4,4,3,16.96666666666667,Pleasant,21.266666666666666,Pleasant,20.066666666666666,Pleasant,14.566666666666668,Cool,5,['Beach'],Beach
DEST_0046,Golden Park,Greece,Europe,Nature,No,Winter,179.34,5.0,1.36,Nafplio,europe,37.5659229,22.8068782,"Charming cobblestone streets, vibrant bougainvillea, and the gentle sea breeze create a serene atmosphere perfect for leisurely exploration and relaxation.",Mid-range,4,3,4,3,3,3,4,3,4,15.633333333333335,Pleasant,27.23333333333333,Warm,18.599999999999998,Pleasant,8.733333333333333,Cool,3,['Nature'],Nature
DEST_0047,Serene Falls,Spain,Europe,Adventure,No,Spring,125.33,4.8,2.27,Asturias,europe,43.3133868,-5.94192,"Lush green landscapes meet rugged coastlines, offering a sense of tranquility and adventure with every breathtaking vista and charming village.",Mid-range,4,4,5,4,2,3,4,3,4,12.333333333333334,Cool,18.499999999999996,Pleasant,14.666666666666666,Cool,9.1,Cool,6,['Adventure'],Adventure
DEST_0048,Crystal Pagoda,Mexico,North America,Historical,Yes,Autumn,154.98,4.3,6.94,Guanajuato,north_america,20.9876996,-101.0,"Winding cobblestone streets and colorful facades create a charming, vibrant atmosphere, where history and lively festivals fill the air with excitement.",Mid-range,5,3,3,1,4,3,4,3,2,22.233333333333334,Pleasant,21.166666666666668,Pleasant,18.866666666666664,Pleasant,15.866666666666665,Pleasant,5,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0049,Ancient Valley,Peru,South America,Beach,No,Summer,150.46,4.4,2.65,Lima,south_america,-12.0621065,-77.0365256,"A lively blend of colonial charm and vibrant modernity, with bustling markets, ocean views, and the tantalizing aroma of street food.",Mid-range,5,3,3,2,4,4,5,3,2,21.46666666666667,Pleasant,17.433333333333334,Pleasant,17.933333333333334,Pleasant,22.633333333333336,Pleasant,6,['Beach'],Beach
DEST_0050,Hidden Valley,New Zealand,Oceania,City,Yes,Spring,96.88,4.6,7.06,Wellington,oceania,-41.2887953,174.7772114,"Charming harborside views, vibrant arts scene, and a cozy mix of urban buzz and nature create a welcoming, eclectic atmosphere.",Mid-range,4,3,4,3,4,4,4,3,2,15.033333333333333,Pleasant,10.966666666666669,Cool,13.266666666666666,Cool,17.633333333333333,Pleasant,6,['Urban'],Urban
DEST_0051,Sacred Canyon,Mexico,North America,Historical,Yes,Spring,181.03,4.5,1.81,Guanajuato,north_america,20.9876996,-101.0,"Winding cobblestone streets and colorful facades create a charming, vibrant atmosphere, where history and lively festivals fill the air with excitement.",Mid-range,5,3,3,1,4,3,4,3,2,22.233333333333334,Pleasant,21.166666666666668,Pleasant,18.866666666666664,Pleasant,15.866666666666665,Pleasant,5,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0052,Sacred Canyon,Egypt,Africa,Religious,No,Summer,110.84,4.4,9.28,Giza,africa,29.9870753,31.2118063,The awe-inspiring sight of ancient pyramids rising from the golden desert sands creates an atmosphere of timeless wonder and historical intrigue.,Mid-range,5,3,3,1,3,2,4,2,2,22.8,Pleasant,29.933333333333337,Warm,25.133333333333336,Warm,16.0,Pleasant,4,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0053,Ancient Forest,Kenya,Africa,Beach,Yes,Winter,132.16,4.7,6.77,Mombasa,africa,-4.05052,39.667169,"Lively markets, stunning beaches, and a fusion of cultures create a vibrant atmosphere where you can feel the ocean breeze and hear Swahili melodies.",Mid-range,4,4,4,5,3,3,4,3,3,27.899999999999995,Warm,25.2,Warm,26.599999999999998,Warm,28.133333333333336,Warm,5,['Beach'],Beach
DEST_0054,Hidden Temple,Germany,Europe,Historical,No,Spring,161.37,4.9,5.53,Heidelberg,europe,49.4093582,8.694724,"Cobblestone streets lined with charming old buildings and the gentle flow of the Neckar River create an inviting, romantic atmosphere.",Mid-range,5,2,4,1,3,3,4,3,4,10.366666666666665,Cool,20.7,Pleasant,12.133333333333333,Cool,4.066666666666666,Cold,4,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0055,Crystal Beach,Kenya,Africa,Religious,No,Spring,133.78,4.4,9.02,Nairobi,africa,-1.30261485,36.82884202,"Bustling streets filled with colorful markets, the aroma of street food, and a lively mix of cultures create a dynamic urban experience.",Mid-range,4,4,5,1,4,3,3,3,2,20.666666666666668,Pleasant,18.3,Pleasant,19.966666666666665,Pleasant,20.8,Pleasant,5,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0056,Golden Beach,Spain,Europe,Religious,No,Autumn,162.99,4.7,3.72,Barcelona,europe,41.3828939,2.1774322,"Vibrant streets filled with Gaudí's whimsical architecture, lively tapas bars, and the warm Mediterranean breeze create an inviting and dynamic atmosphere.",Mid-range,5,3,3,4,5,5,5,3,2,15.066666666666668,Pleasant,24.8,Pleasant,17.8,Pleasant,9.766666666666667,Cool,6,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0057,Lush Forest,Peru,South America,City,Yes,Spring,214.97,4.2,9.02,Lima,south_america,-12.0621065,-77.0365256,"A lively blend of colonial charm and vibrant modernity, with bustling markets, ocean views, and the tantalizing aroma of street food.",Mid-range,5,3,3,2,4,4,5,3,2,21.46666666666667,Pleasant,17.433333333333334,Pleasant,17.933333333333334,Pleasant,22.633333333333336,Pleasant,6,['Urban'],Urban
DEST_0058,Mystic Forest,Thailand,Asia,Nature,Yes,Summer,162.52,4.6,6.6,Chiang Mai,asia,18.7882778,98.9858802,"Lush mountain landscapes and vibrant night markets create a serene yet lively atmosphere, inviting exploration and relaxation at every turn.",Budget,5,4,4,1,3,3,5,4,4,29.5,Warm,28.133333333333336,Warm,26.8,Warm,23.599999999999998,Pleasant,5,['Nature'],Nature
DEST_0059,Golden Canyon,Italy,Europe,Historical,No,Winter,161.31,4.8,0.59,Verona,europe,45.4424977,10.98573769,"Charming streets with a romantic vibe, historic architecture, and cozy piazzas invite leisurely strolls and delightful discoveries at every turn.",Mid-range,5,2,3,1,4,3,4,3,3,13.666666666666666,Cool,24.766666666666666,Pleasant,14.500000000000002,Cool,4.466666666666667,Cold,4,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0060,Serene Valley,Japan,Asia,Beach,Yes,Spring,164.65,4.3,0.55,Takayama,asia,36.1396246,137.2510322,"Charming wooden houses, serene streets, and the gentle flow of the river create a peaceful atmosphere perfect for unwinding and exploration.",Mid-range,5,2,4,1,2,2,4,3,4,10.533333333333333,Cool,22.96666666666667,Pleasant,14.200000000000001,Cool,0.5333333333333333,Cold,4,['Beach'],Beach
DEST_0061,Mystic Temple,Japan,Asia,Nature,No,Autumn,158.74,4.1,7.07,Takayama,asia,36.1396246,137.2510322,"Charming wooden houses, serene streets, and the gentle flow of the river create a peaceful atmosphere perfect for unwinding and exploration.",Mid-range,5,2,4,1,2,2,4,3,4,10.533333333333333,Cool,22.96666666666667,Pleasant,14.200000000000001,Cool,0.5333333333333333,Cold,4,['Nature'],Nature
DEST_0062,Hidden Plaza,United States,North America,City,Yes,Autumn,90.43,4.7,7.27,New York,north_america,40.7127281,-74.0060152,"The city buzzes with energy, offering iconic skylines, diverse cultures, and a sensory overload of sights, sounds, and tastes at every corner.",Luxury,5,3,3,2,5,5,5,3,1,12.033333333333333,Cool,24.599999999999998,Pleasant,15.533333333333331,Pleasant,2.9,Cold,8,['Urban'],Urban
DEST_0063,Ancient Plaza,Kenya,Africa,Religious,Yes,Winter,112.44,4.2,7.59,Nairobi,africa,-1.30261485,36.82884202,"Bustling streets filled with colorful markets, the aroma of street food, and a lively mix of cultures create a dynamic urban experience.",Mid-range,4,4,5,1,4,3,3,3,2,20.666666666666668,Pleasant,18.3,Pleasant,19.966666666666665,Pleasant,20.8,Pleasant,5,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
